EventId,InvestigationType,AccidentNumber,EventDate,Location,Country,Latitude,Longitude,AirportCode,AirportName,InjurySeverity,AircraftDamage,AircraftCategory,RegistrationNumber,Make,Model,AmateurBuilt,NumberOfEngines,EngineType,FARDescription,Schedule,PurposeOfFlight,AirCarrier,TotalFatalInjuries,TotalSeriousInjuries,TotalMinorInjuries,TotalUninjured,WeatherCondition,BroadPhaseOfFlight,ReportStatus,PublicationDate,
20140217X34948,Accident,CEN14FA141,02/16/2014,"Telluride, CO",United States,37.960278,-107.929723,,N/A,Fatal(3),Substantial,Airplane,N400DJ,BEECH,35 33,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,3,,,,IMC,,Preliminary,02/26/2014,
20140216X74111,Accident,CEN14FA140,02/16/2014,"Shepherd, TX",United States,30.476945,-94.920556,,N/A,Fatal(1),Destroyed,Airplane,N3000V,HILLAM SCOTT L,RANS S 10,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,02/26/2014,
20140208X05221,Accident,ERA14FA115,02/08/2014,"Panacea, FL",United States,29.989444,-84.391111,2J0,WAKULLA COUNTY,Fatal(2),Substantial,Helicopter,N571AC,ROBINSON HELICOPTER COMPANY,R44 II,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,1,,,VMC,,Preliminary,02/14/2014,
20140211X72802,Accident,ERA14LA117,02/07/2014,"Stuart, FL",United States,27.168056,-80.142500,,N/A,Fatal(1),Destroyed,Airplane,N2571U,PIPER,PA-28-161,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,IMC,,Preliminary,02/19/2014,
20140203X00647,Accident,ERA14FA112,02/03/2014,"Bellevue, TN",United States,36.041666,-86.938333,JWN,JOHN C TUNE,Fatal(4),Destroyed,Airplane,N840V,GULFSTREAM AM CORP COMM DIV,690C,No,2,Turbo Prop,Part 91: General Aviation,,Personal,,4,,,,IMC,,Preliminary,02/14/2014,
20140211X41001,Accident,CEN14GA135,01/31/2014,"Oden, AR",United States,34.620000,-93.776389,,N/A,Fatal(1),Substantial,Airplane,N4957U,CESSNA,210E,No,1,Reciprocating,Part 91: General Aviation,,PUBS,,1,,,,IMC,,Preliminary,02/26/2014,
20140127X44720,Accident,CEN14FA122,01/27/2014,"Silt, CO",United States,39.521389,-107.660833,,N/A,Fatal(3),Destroyed,Helicopter,N207DS,BELL,206L 3,No,1,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,,DELTA BRAVO SIERRA INC,3,,,,VMC,,Preliminary,02/04/2014,
20140115X22709,Accident,ERA14FA093,01/15/2014,"Holland, NJ",United States,40.579167,-75.138889,,N/A,Fatal(1),Substantial,Airplane,N469J,AMERICAN CHAMPION AIRCRAFT,8KCAB,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,IMC,,Preliminary,02/03/2014,
20140114X32510,Accident,WPR14FA096,01/14/2014,"Pismo Beach, CA",United States,,,,N/A,Fatal(2),Destroyed,Airplane,N5102V,MORRISEY,2150,No,1,,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,01/21/2014,
20140112X00750,Accident,CEN14FA110,01/10/2014,"Waterford, MI",United States,42.664444,83.442777,PTK,Oakland County International A,Fatal(1),Destroyed,Airplane,N3829G,CESSNA,310R,No,,,Part 91: General Aviation,,Positioning,,1,,,,IMC,,Preliminary,01/13/2014,
20140106X13945,Accident,CEN14FA102,01/06/2014,"Boyne City, MI",United States,45.208611,-84.960556,N98,Boyne City Municipal,Fatal(2),Substantial,Airplane,N1046L,MOONEY,M20R,No,1,Unknown,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,01/07/2014,
20140106X95024,Accident,CEN14FA099,01/05/2014,"Aspen, CO",United States,39.221945,-106.868334,ASE,ASPEN-PITKIN CO/SARDY FIELD,Fatal(1),Destroyed,Airplane,N115WF,CANADAIR LTD,CL 600 2B16,,2,Turbo Fan,Part 91: General Aviation,,Positioning,,1,2,,,,,Preliminary,01/16/2014,
20140103X02940,Accident,ERA14LA084,01/01/2014,"Fryeburg, ME",United States,43.988055,-70.941944,IZG,EASTERN SLOPES RGNL,Fatal(1),,Airplane,N1803X,BEECH,A36,No,,Unknown,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,02/11/2014,
20131226X23756,Accident,WPR14FA078,12/26/2013,"Fresno, CA",United States,36.734166,-119.826667,FCH,FRESNO CHANDLER EXECUTIVE,Fatal(2),Destroyed,Airplane,N251JM,CESSNA,172K,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,01/08/2014,
20131226X82929,Accident,ERA14FA077,12/26/2013,"Biglerville, PA",United States,39.941944,77.221111,,N/A,Fatal(1),Destroyed,Airplane,N8372Y,PIPER,PA-30,No,2,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,01/15/2014,
20131218X32603,Accident,ERA14FA075,12/18/2013,"Chatlottesville, VA",United States,38.157222,-78.392222,CHO,Charlottesville-Albemarle Airp,Fatal(1),Substantial,Airplane,N3705Z,BEECH,A36TC,No,1,,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,12/23/2013,
20131218X10522,Accident,ERA14FA074,12/18/2013,"Panama City, FL",United States,30.101944,-85.462222,75FL,Sandy Creek Airpark,Fatal(1),Substantial,Airplane,N89SN,BEECHCRAFT CORPORATION,G36,No,1,Unknown,Part 91: General Aviation,,Business,,1,,,,VMC,,Preliminary,12/26/2013,
20131217X20444,Accident,ERA14FA073,12/17/2013,"Atlanta, GA",United States,33.821667,84.469167,FTY,Fulton County Airport,Fatal(2),Destroyed,Airplane,N50PM,RAYTHEON AIRCRAFT COMPANY,390,No,2,"TF, UNK",Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,12/23/2013,
20131213X41847,Accident,CEN14FA084,12/12/2013,"Collbran, CO",United States,39.366945,-107.374167,,,Fatal(3),Substantial,Airplane,N8037P,PIPER,PA 24-250,,1,Unknown,Part 91: General Aviation,,Personal,,3,,,,VMC,,Preliminary,12/19/2013,
20131211X33313,Accident,WPR14FA068,12/11/2013,"Kalaupapa, HI",United States,21.216667,-156.983334,LUP,Kalaupapa Arpt,Fatal(1),Substantial,Airplane,N687MA,CESSNA,208B,No,2,Unknown,Part 135: Air Taxi & Commuter,SCHD,,Makani Kai Air,1,3,5,,VMC,,Preliminary,12/30/2013,
20131208X92103,Accident,ERA14FA068,12/08/2013,"Jacksonville, FL",United States,30.319723,-81.514167,CRG,Jacksonville Executive Airport,Fatal(3),Substantial,Airplane,N98BT,CESSNA,310R,No,2,Reciprocating,Part 91: General Aviation,,Personal,,3,,,,IMC,,Preliminary,12/13/2013,
20131208X45633,Accident,CEN14FA077,12/08/2013,"Los Alamos, NM",United States,,,KLAM,Los Alamos Airport,Fatal(2),Destroyed,Airplane,N80MF,AVIAT AIRCRAFT INC,A-1C-200,No,1,Unknown,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,12/16/2013,
20131206X95526,Accident,ERA14FA066,12/06/2013,"Sebring, FL",United States,27.463333,-81.366667,SEF,Sebring Regional Airport,Fatal(1),Destroyed,Helicopter,N1001N,TEXAS HELICOPTER CORP,M74L,No,1,Unknown,Part 91: General Aviation,,Positioning,,1,,,,,,Preliminary,12/13/2013,
20131203X94343,Accident,ERA14MA060,12/02/2013,"La Alianza, PR",United States,18.384444,-66.588333,,N/A,Fatal(2),Destroyed,Airplane,N831BC,FAIRCHILD,SA227AC,No,2,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,,IBC AIRWAYS INC,2,,,,VMC,,Preliminary,12/18/2013,
20131202X13615,Accident,ERA14FA058,12/02/2013,"Dawsonville, GA",United States,,,,N/A,Fatal(1),Destroyed,Airplane,N87NF,PIPER,PA 46-310P,No,1,Turbo Prop,Part 91: General Aviation,,Personal,,1,,,,IMC,,Preliminary,12/13/2013,
20131216X13812,Accident,WPR14FAMS1,12/01/2013,"Yellow Pine, ID",United States,44.913056,-115.485000,,N/A,Fatal(5),,Airplane,N36ML,BEECH,B36TC,No,,,Part 91: General Aviation,,Personal,,5,,,,,,Preliminary,12/20/2013,
20131130X60054,Accident,ERA14LA057,11/30/2013,"Elkmont, AL",United States,34.926111,86.970278,,N/A,Fatal(1),Destroyed,Airplane,N8878E,PIPER,PA-28-161,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,01/16/2014,
20131129X32256,Accident,CEN14FA071,11/29/2013,"Delta, CO",United States,38.811944,108.030834,KAJZ,Blake Field,Fatal(1),Destroyed,Airplane,N3087Y,CESSNA,182E,,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,IMC,,Preliminary,12/04/2013,
20131130X23954,Accident,ANC14MA008,11/29/2013,"Saint Marys, AK",United States,62.050833,-163.269167,KSM,ST MARY'S,Fatal(4),Substantial,Airplane,N12373,CESSNA,208B,No,2,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,,Hageland Aviation (DBA: ERA Alaska),4,6,,,IMC,,Preliminary,02/27/2014,
20131125X94952,Accident,ERA14FA049,11/25/2013,"Graniteville, SC",United States,33.646944,-81.868889,S17,Twin Lakes Airport,Fatal(1),Substantial,Airplane,N4016P,PIPER,PA-23-160,No,2,Unknown,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,12/05/2013,
20131120X80518,Accident,ERA14FA045,11/19/2013,"Fort Lauderdale, FL",United States,26.163333,-80.069445,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Fatal(4),Destroyed,Airplane,XA-USD,LEARJET,35,No,2,,"Non-U.S., Non-Commercial",,Positioning,,4,,,,VMC,,Preliminary,12/03/2013,
20131120X00220,Accident,CEN14FA064,11/19/2013,"Cedaredge, CO",United States,,,,N/A,Fatal(1),Destroyed,Airplane,N6832B,CESSNA,T210,No,1,Unknown,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,11/26/2013,
20131119X94624,Accident,ERA14FA044,11/17/2013,"Kenansville, NC",United States,35.014722,-77.960556,DPL,Duplin County Airport,Fatal(1),Destroyed,Airplane,N132FW,FOCKE-WULF,FWP 149D,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,IMC,,Preliminary,11/27/2013,
20131117X22354,Accident,CEN14FA057,11/17/2013,"Spring, TX",United States,30.059444,-95.550556,DWH,David Wayne Hooks Memorial,Fatal(2),Substantial,Airplane,N555UF,CESSNA,152,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,2,,,,VMC,,Preliminary,11/26/2013,
20131116X80909,Accident,CEN14LA056,11/16/2013,"Anahuac, TX",United States,,,T00,Chambers County,Fatal(1),Destroyed,Gyrocraft,N975DF,PEARSON JON M,DRAGONFLY,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,11/21/2013,
20131112X30325,Accident,CEN14FA051,11/12/2013,"Junction, TX",United States,,,,N/A,Fatal(2),Destroyed,Airplane,N38LH,CESSNA,T310R,,2,Unknown,Part 91: General Aviation,,Personal,,2,,,,IMC,,Preliminary,11/18/2013,
20131111X10005,Accident,CEN14FA047,11/11/2013,"Amarillo, TX",United States,35.250556,-101.675834,AMA,Amarillo International Airport,Fatal(3),Destroyed,Airplane,N4245D,BEECHCRAFT,B36TC,No,1,,Part 91: General Aviation,,Personal,,3,,,,IMC,,Preliminary,11/18/2013,
20131110X03324,Accident,CEN14FA046,11/10/2013,"Owasso, OK",United States,36.297500,-95.874445,,N/A,Fatal(1),Destroyed,Airplane,N856JT,MITSUBISHI,MU 2B-25,No,2,,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,11/18/2013,
20131106X60949,Accident,WPR14FA044,11/06/2013,"Donnelly, ID",United States,44.745833,-115.826945,U84,Donald D Coski Memorial Airpor,Fatal(3),Substantial,Airplane,N206KL,CESSNA,U206F,No,1,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,,McCall Aviation Inc. (DBA: McCall Air),3,,,,VMC,,Preliminary,11/13/2013,
20131106X11708,Accident,CEN14FA042,11/05/2013,"Kirksville, MO",United States,40.145833,-92.528334,KIRK,Kirksville Regional Airport,Fatal(2),Destroyed,Airplane,N408DM,PIPER,PA 32R-301,No,1,Unknown,Part 91: General Aviation,,Instructional,,2,,,,IMC,,Preliminary,11/14/2013,
20131104X14150,Accident,CEN14WA038,11/02/2013,"Coburg, FN",United States,50.262500,10.995833,,,Fatal(3),Destroyed,Airplane,,PIPER,PA-34,No,,,,,,,3,,,,,,Foreign,11/14/2013,
20131101X04142,Accident,CEN14FA035,11/01/2013,"Springdale, AR",United States,36.154167,94.056944,,N/A,Fatal(2),Destroyed,Airplane,N269JG,BEECH,C90,No,2,,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,11/06/2013,
20131101X95036,Accident,CEN14FA034,11/01/2013,"Caledonia, MN",United States,,,KCHU,Houston County,Fatal(3),Substantial,Airplane,N6068Y,PIPER,PA 23-250,No,2,Reciprocating,Part 91: General Aviation,,Personal,,3,1,,,,,Preliminary,11/14/2013,
20131029X13001,Accident,ERA14FA027,10/29/2013,"Nashville, TN",United States,36.107500,-86.690555,BNA,NASHVILLE INTL,Fatal(1),Destroyed,Airplane,C-GRJH,CESSNA,172F,No,1,,"Non-U.S., Non-Commercial",,Personal,,1,,,,,,Preliminary,11/04/2013,
20131028X85148,Accident,WPR14FA037,10/28/2013,"McMinnville, OR",United States,45.224445,-123.203333,MMV,MC MINNVILLE MUNI,Fatal(1),Substantial,Unknown,N25DM,MUSICK,LANCAIR O 235,Yes,,,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,11/13/2013,
20131029X54558,Accident,CEN14LA028,10/28/2013,"Princeton, MN",United States,45.560000,-93.609722,PNM,PRINCETON MUNI,Fatal(1),Destroyed,Airplane,N4803A,PIPER,PA 22-150,,1,Unknown,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,11/04/2013,
20131028X55737,Accident,CEN14FA024,10/27/2013,"Boerne, TX",United States,30.620000,98.692500,,N/A,Fatal(1),Destroyed,Airplane,N11RC,BELLANCA,1419 - 3,,1,,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,11/22/2013,
20131024X85621,Accident,CEN14LA015,10/23/2013,"Galveston, TX",United States,,,,N/A,Fatal(2),Substantial,Airplane,N4151D,NORTH AMERICAN,P 51D,No,,,Part 91: General Aviation,,Instructional,,2,,,,VMC,,Preliminary,11/01/2013,
20131022X92949,Accident,ERA14FA010,10/22/2013,"Somerville, TN",United States,35.230000,-89.380278,,N/A,Fatal(3),Destroyed,Helicopter,N353HW,EUROCOPTER,AS 350 B3,No,1,,Part 91: General Aviation,,Positioning,,3,,,,VMC,,Preliminary,10/30/2013,
20131024X65945,Accident,CEN14FA019,10/21/2013,"Talihina, OK",United States,34.618889,-95.028611,,N/A,Fatal(1),Substantial,Airplane,N113WS,PIPER,PA 28-140,No,1,Unknown,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,11/01/2013,
20131022X14138,Accident,CEN14FA014,10/21/2013,"Huntsville, AR",United States,35.896389,-93.760556,,N/A,Fatal(2),Destroyed,Airplane,N888TP,PIPER,PA 32R-301,,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,11/04/2013,
20131022X05519,Accident,ERA14LA011,10/19/2013,"Tampa, FL",United States,28.017778,-82.341666,X39,Tampa North Aero Park,Fatal(1),,Airplane,N65355,BOEING,B75N1,No,1,,Part 91: General Aviation,,Air Race/Show,,1,,,2,VMC,,Preliminary,11/04/2013,
20131018X11004,Accident,ERA14FA002,10/18/2013,"Tifton, GA",United States,31.572223,-83.605278,,N/A,Fatal(1),Destroyed,Airplane,N11ML,PIPER,PA-28R-180,No,1,,Part 91: General Aviation,,Personal,,1,,,,IMC,,Preliminary,10/23/2013,
20131019X24348,Accident,CEN14FA010,10/18/2013,"Clayton, OK",United States,,,,N/A,Fatal(1),Substantial,Airplane,N30495,CESSNA,177A,,1,Unknown,Part 91: General Aviation,,Unknown,,1,,,,,,Preliminary,10/28/2013,
20131018X34254,Accident,CEN14FA009,10/18/2013,"Derby, KS",United States,37.522500,-97.217500,,N/A,Fatal(2),Destroyed,Airplane,N610ED,CESSNA,500,No,2,Turbo Fan,Part 91: General Aviation,,Business,,2,,,,VMC,,Preliminary,11/05/2013,
20131018X32710,Accident,ANC14FA002,10/17/2013,"Fairbanks, AK",United States,64.796111,-147.880834,FAI,FAIRBANKS INTL,Fatal(1),Substantial,Airplane,N1512Y,CESSNA,172C,No,1,Unknown,Part 91: General Aviation,,Personal,,1,2,,,VMC,,Preliminary,11/04/2013,
20131021X12556,Accident,ERA14LA006,10/10/2013,"Hampton Roads, VA",United States,36.780278,-76.448889,PVG,Hampton Roads,Fatal(4),Destroyed,Airplane,N4TK,CESSNA,340A,,2,Reciprocating,Part 91: General Aviation,,Personal,,4,,,,IMC,,Preliminary,11/05/2013,
20131010X04640,Accident,WPR14FA012,10/09/2013,"Julian, CA",United States,33.162500,116.959722,,N/A,Fatal(2),Destroyed,Airplane,N7145U,MOONEY,M20E,,1,Unknown,Part 91: General Aviation,,Personal,,2,,,,,,Preliminary,10/21/2013,
20131009X50051,Accident,CEN14FA004,10/09/2013,"Venice, LA, GM",United States,29.550000,88.700000,,N/A,Fatal(1),Substantial,Helicopter,N54LP,BELL,206L 3,No,1,Unknown,Part 135: Air Taxi & Commuter,NSCH,,PANTHER HELICOPTERS INC,1,3,,,VMC,,Factual,01/09/2014,
20131007X44153,Accident,WPR14LA008,10/06/2013,"Paducah, TX",United States,33.939444,-100.072223,,N/A,Fatal(1),Substantial,Helicopter,N530KF,MCDONNELL DOUGLAS HELI CO,369,No,1,Turbo Shaft,Part 133: Rotorcraft Ext. Load,,External Load,,1,,,,VMC,,Preliminary,11/04/2013,
20131005X30119,Accident,WPR14LA007,10/06/2013,"Tinian Island, MP",United States,15.062222,145.623611,,N/A,Fatal(3),Substantial,Airplane,N4089W,PIPER,PA 32-300,No,1,,Part 135: Air Taxi & Commuter,NSCH,,STAR MARIANAS AIR INC,3,4,,,IMC,,Preliminary,10/29/2013,
20131021X42436,Accident,ERA14LA007,10/06/2013,"Culebra, PR",United States,18.250000,-65.383334,TJCP,Benjamin Rivera Noriega,Fatal(1),Destroyed,Airplane,N909GD,BRITTEN-NORMAN,BN-2A-8,No,2,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,AIR CHARTER INC DBA (DBA: Air Flamenco),1,,,,VMC,,Preliminary,10/23/2013,
20131004X93954,Accident,WPR14LA005,10/04/2013,"Paulden, AZ",United States,,,,,Fatal(4),Substantial,Airplane,N312GC,CESSNA,340A,No,2,Unknown,Part 91: General Aviation,,Personal,,4,,,,VMC,,Preliminary,10/24/2013,
20130930X32148,Accident,WPR13FA430,09/29/2013,"Santa Monica, CA",United States,34.015833,-193.216667,KSMO,Santa Monica Municipal Airport,Fatal(4),Destroyed,Airplane,N194SJ,CESSNA,525A,No,2,Unknown,Part 91: General Aviation,,Personal,,4,,,,VMC,,Preliminary,10/22/2013,
20130929X12529,Accident,ERA13LA434,09/29/2013,"Edinburg, NY",United States,,,1F2,Plateau Sky Ranch Airport,Fatal(1),Destroyed,Airplane,N85AT,TIMOTHY J COWPER,PITTS SPECIAL S-1E,Yes,,,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,10/30/2013,
20130928X12809,Accident,ERA13LA433,09/27/2013,"Bloomsburg, PA",United States,40.991389,-76.466667,,N/A,Fatal(1),,Helicopter,N631DP,ENSTROM,F 28C,No,,,Part 91: General Aviation,,Aerial Observation,,1,,,1,VMC,,Preliminary,10/30/2013,
20130928X04043,Accident,ERA13FA432,09/27/2013,"Pahokee, FL",United States,26.068611,-80.686944,,N/A,Fatal(1),Substantial,Airplane,N220BL,LOWERRE BRUCE T,S 12-E,Yes,1,Unknown,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,10/23/2013,
20130925X23112,Accident,CEN13FA558,09/25/2013,"Bolingbrook, IL",United States,41.691111,-88.125000,1C5,BOLINGBROOK'S CLOW INTL,Fatal(2),Destroyed,Airplane,N406DC,CIRRUS DESIGN CORP,SR20,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,11/05/2013,
20130924X12323,Accident,WPR13LA420,09/23/2013,"Williams, CA",United States,39.111111,-122.311111,,N/A,Fatal(1),Destroyed,Airplane,N67GM,MILLER GARY,RV6,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,09/30/2013,
20130921X71327,Accident,WPR13FA417,09/21/2013,"Cordes Lakes, AZ",United States,34.395277,112.046944,,N/A,Fatal(2),Destroyed,Helicopter,N22490,BELL,UH-1V,No,1,Turbo Shaft,Part 91: General Aviation,,Personal,,2,,,,,,Preliminary,09/30/2013,
20130920X04503,Accident,ERA13FA424,09/20/2013,"Hamilton Township, NJ",United States,39.506389,-74.700556,,N/A,Fatal(1),Substantial,Airplane,N174BK,BROWN ROBERT K,RV7A,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,09/30/2013,
20130917X01349,Accident,WPR13FA411,09/16/2013,"Detroit, OR",United States,44.722500,-122.110556,,N/A,Fatal(1),Substantial,Helicopter,N204UH,BELL,UH 1B,,1,Unknown,Part 91: General Aviation,,External Load,,1,,,,VMC,,Preliminary,09/30/2013,
20130911X51746,Accident,WPR13FA405,09/11/2013,"Jackson Hole, WY",United States,43.590555,-110.743333,JAC,Jackson Hole Airport,Fatal(2),Substantial,Airplane,N820RV,KAMTZ,RV-7A,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,09/27/2013,
20130917X54848,Accident,ANC13FAMS2,09/09/2013,"Yakutat, AK",United States,59.503333,-139.660278,,N/A,Fatal(1),Destroyed,Airplane,N3705W,PIPER,PA-32-260,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,09/30/2013,
20130910X21958,Accident,ANC13FA095,09/09/2013,"Big Lake, AK",United States,,,,N/A,Fatal(1),Substantial,Airplane,N701MG,ZENITH,701,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,,,VMC,,Preliminary,09/30/2013,
20130908X63200,Accident,WPR13FA400,09/08/2013,"Prineville, OR",United States,44.290277,-120.887777,S39,PRINEVILLE,Fatal(1),Substantial,Airplane,N65VG,CANTRELL LW,CHALLENGER II SP,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,10/21/2013,
20130906X73030,Accident,WPR13FA399,09/06/2013,"Spanish Fork, UT",United States,40.142500,-111.685277,U77,Spanish Fork Airport,Fatal(1),Destroyed,Airplane,N123SD,Tyler Ives,SD-1 TG,Yes,1,,Part 91: General Aviation,,Flight Test,,1,,,,,,Preliminary,01/13/2014,
20130906X35911,Accident,ANC13FA093,09/05/2013,"Glennallen, AK",United States,62.534444,-147.609722,,N/A,Fatal(1),Substantial,Airplane,N170BN,CESSNA,170B,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Factual,03/12/2014,
20130909X93855,Accident,ERA13FA402,09/02/2013,"Lenox Twp., PA",United States,41.724723,-75.693055,,,Fatal(2),Destroyed,Airplane,N41759,CESSNA,T-50,No,2,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,IMC,,Preliminary,09/17/2013,
20130901X04803,Accident,WPR13FA393,08/31/2013,"Scappoose, OR",United States,45.765000,-122.863611,SPB,SCAPPOOSE INDUSTRIAL AIRPARK,Fatal(1),Destroyed,Gyrocraft,N43259,STUART DONALD L,VORTEX,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,09/18/2013,
20130831X54252,Accident,CEN13FA517,08/31/2013,"Caballo, NM",United States,33.037777,-107.308333,,N/A,Fatal(3),Substantial,Helicopter,N3156U,ROBINSON,R44 II,No,1,Reciprocating,Part 91: General Aviation,,Personal,,3,,,,VMC,,Factual,03/14/2014,
20130830X25845,Accident,ERA13FA388,08/30/2013,"Limington, ME",United States,43.762778,-70.674445,63B,Limington-Harmon Airport,Fatal(1),Substantial,Airplane,N8063B,CESSNA,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,1,,,,VMC,,Preliminary,09/17/2013,
